Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
14-01-2020,North,Accessories,Supplier A,Warehouse 1,Fulfilled,302,2124,1103.838324,TRUE,9,FALSE,37820.0524,2048,5037
15-11-2020,East,Furniture,Supplier D,Warehouse 2,Fulfilled,741,1972,13163.00766,TRUE,11,FALSE,54396.17369,1213,9216
16-04-2020,East,Furniture,Supplier C,Warehouse 2,Fulfilled,940,454,9872.294126,TRUE,17,FALSE,24217.45462,1160.5,7699
17-04-2020,South,Accessories,Supplier D,Warehouse 2,Canceled,589,1867,4547.589932,TRUE,3,FALSE,38919.08005,3364.5,9271
18-04-2020,North,Accessories,Supplier C,Warehouse 2,Fulfilled,964,4862,11994.04231,TRUE,21,FALSE,59204.50683,3063,5828
19-04-2020,South,Electronics,Supplier A,Warehouse 1,Canceled,338,1264,6220.991375,FALSE,15,FALSE,55736.88744,1104.5,8292
20-04-2020,West,Furniture,Supplier A,Warehouse 2,Pending,748,945,14023.27556,TRUE,7,FALSE,139260.8377,929,5073
21-04-2020,North,Accessories,Supplier C,Warehouse 1,Canceled,909,913,1556.256814,TRUE,25,FALSE,35640.52177,2204,9860
22-04-2020,East,Clothing,Supplier C,Warehouse 3,Fulfilled,781,3495,4933.463849,TRUE,8,FALSE,73883.09071,3481,8375
23-04-2020,East,Clothing,Supplier A,Warehouse 1,Fulfilled,488,3467,12041.4938,TRUE,21,FALSE,52012.68962,4067.5,8594
24-04-2020,West,Clothing,Supplier D,Warehouse 3,Fulfilled,125,4668,6126.847877,TRUE,21,FALSE,2726.657395,3947.5,7684
25-04-2020,East,Furniture,Supplier A,Warehouse 1,Fulfilled,899,3227,12221.18843,TRUE,4,FALSE,127779.9529,2414.5,9035
26-04-2020,North,Accessories,Supplier D,Warehouse 1,Fulfilled,324,1602,5705.511137,TRUE,27,FALSE,63107.38981,1005.5,8116
